"","Matricula","Campus","Facultad","Carrera","Proceso","HoraRegistro"
"76","70307","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-20 16:46:38
"77","70307","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-20 17:23:58
"78","70307","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-17 12:47:41
"79","70307","ULV","NM","BACH","Inscripción Finalizada",2021-08-17 15:32:11
"80","70307","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-25 19:42:52
"81","70307","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-28 10:18:28
"82","70307","ULV","NM","BACH","Inscripción Finalizada",2022-01-30 08:53:15
"83","80023","ULV","FCE","LEMYSPSICO","Asignación de Carga Académica",2022-02-04 12:50:58
"84","80023","ULV","FCE","LEMYSPSICO","Solicitud de Cálculo de Cobro",2022-02-07 08:33:39
"85","80023","ULV","FCE","LEMYSPSICO","Asignación de Cálculo de Cobro",2022-02-07 10:35:43
"86","80023","ULV","FCE","LEMYSPSICO","Confirmación Pago Deposito",2022-02-07 10:38:07
"87","80023","ULV","FCE","LEMYSPSICO","Inscripción Finalizada",2022-02-07 16:38:40
"88","80023","ULV","FCE","LEMYSPSICO","Solicitud de Carga Académica",2022-02-01 08:24:01
"89","80375","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-30 10:34:01
"90","80375","ULV","NM","BACH","Inscripción Finalizada",2022-01-30 13:00:16
"91","80375","ULV","NM","BACH","Inscripción Finalizada",2021-08-17 15:15:01
"92","80375","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-17 11:09:54
"93","80375","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-19 10:29:19
"94","80375","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-19 08:25:24
"95","80375","ULV","NM","BACH","Asignación de Carga Académica",2022-01-19 08:37:47
"96","80375","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-19 08:41:16
"97","80375","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-11 10:41:49
"98","80375","ULV","NM","BACH","Asignación de Carga Académica",2021-08-11 11:19:09
"99","80375","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-11 12:04:56
"100","80375","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-11 12:57:08
"101","80377","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-12 15:52:40
"102","80377","ULV","NM","BACH","Asignación de Carga Académica",2021-08-12 16:13:41
"103","80377","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-12 17:02:01
"104","80377","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-12 17:09:11
"105","80377","ULV","NM","BACH","Inscripción Finalizada",2021-08-13 11:44:50
"106","80377","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-13 11:39:22
"107","80377","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-21 12:05:26
"108","80377","ULV","NM","BACH","Asignación de Carga Académica",2022-01-21 12:42:52
"109","80377","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-21 14:24:26
"110","80377","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-23 08:46:58
"111","80377","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-25 17:15:43
"112","80377","ULV","NM","BACH","Inscripción Finalizada",2022-01-25 17:18:12
"113","80378","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-27 10:14:18
"114","80378","ULV","NM","BACH","Asignación de Carga Académica",2022-01-27 16:07:16
"115","80378","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-27 16:40:28
"116","80378","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-27 16:51:40
"117","80378","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-27 17:02:32
"118","80378","ULV","NM","BACH","Inscripción Finalizada",2022-01-27 17:18:21
"119","80378","ULV","NM","BACH","Inscripción Finalizada",2021-08-13 13:51:51
"120","80378","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-13 12:56:30
"121","80378","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-12 16:22:00
"122","80378","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-12 13:02:44
"123","80378","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 14:37:45
"124","80378","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 15:47:47
"125","80454","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 15:37:17
"126","80454","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 16:14:32
"127","80454","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-10 16:20:16
"128","80454","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-10 18:04:22
"129","80454","ULV","NM","BACH","Inscripción Finalizada",2021-08-12 11:58:33
"130","80454","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-12 11:07:55
"131","80454","ULV","NM","BACH","Pago Deposito/Tranferencia",2021-08-12 11:04:46
"132","80454","ULV","NM","BACH","Inscripción Finalizada",2022-01-18 16:36:14
"133","80454","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-17 11:13:30
"134","80454","ULV","NM","BACH","Confirmación de Pago en Línea",2022-01-18 10:52:14
"135","80454","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-18 10:02:52
"136","80454","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-18 09:03:38
"137","80454","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 08:57:07
"138","90018","ULV","FCS","ENF","Solicitud de Carga Académica",2022-01-19 12:00:52
"139","90018","ULV","FCS","ENF","Asignación de Carga Académica",2022-01-19 18:41:38
"140","90018","ULV","FCS","ENF","Solicitud de Cálculo de Cobro",2022-01-19 20:33:29
"141","90018","ULV","FCS","ENF","Asignación de Cálculo de Cobro",2022-01-20 09:49:26
"142","90018","ULV","FCS","ENF","Confirmación Pago Deposito",2022-01-20 15:14:45
"143","90018","ULV","FCS","ENF","Inscripción Finalizada",2022-01-21 11:20:32
"144","90018","ULV","FCS","ENF","Solicitud de Carga Académica",2021-07-28 19:43:43
"145","90018","ULV","FCS","ENF","Asignación de Carga Académica",2021-08-04 10:47:00
"146","90018","ULV","FCS","ENF","Solicitud de Cálculo de Cobro",2021-08-04 10:54:49
"147","90018","ULV","FCS","ENF","Asignación de Cálculo de Cobro",2021-08-04 11:59:28
"148","90018","ULV","FCS","ENF","Confirmación Pago Deposito",2021-08-04 12:09:05
"149","90018","ULV","FCS","ENF","Inscripción Finalizada",2021-08-04 17:35:55
"150","90019","ULV","NM","BACH","Solicitud de Carga Académica",2021-07-28 19:45:34
"151","90019","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-16 15:24:07
"152","90019","ULV","NM","BACH","Inscripción Finalizada",2021-08-16 15:29:35
"153","90019","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-16 15:44:13
"154","90019","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-10 15:28:32
"155","90019","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 10:48:00
"156","90019","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-20 15:15:02
"157","90019","ULV","NM","BACH","Inscripción Finalizada",2022-01-20 16:20:49
"158","90019","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-19 17:12:17
"159","90019","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-19 17:13:30
"160","90019","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-19 11:33:43
"161","90019","ULV","NM","BACH","Asignación de Carga Académica",2022-01-19 09:59:52
"162","90019","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-19 09:46:47
"163","90201","ULV","POSTGRADO","MEAIE","Solicitud de Cálculo de Cobro",2022-02-03 15:28:22
"164","90201","ULV","POSTGRADO","MEAIE","Asignación de Cálculo de Cobro",2022-02-03 15:31:28
"165","90201","ULV","POSTGRADO","MEAIE","Confirmación Pago Deposito",2022-02-03 15:34:27
"166","90201","ULV","POSTGRADO","MEAIE","Solicitud de Carga Académica",2022-02-03 14:02:31
"167","90201","ULV","POSTGRADO","MEAIE","Asignación de Carga Académica",2022-02-03 14:05:04
"168","90201","ULV","POSTGRADO","MEAIE","Inscripción Finalizada",2022-02-09 15:12:53
"169","210160","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-19 16:16:10
"170","210160","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-20 16:13:07
"171","210160","ULV","NM","BACH","Inscripción Finalizada",2022-01-20 16:22:01
"172","210160","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-20 13:49:58
"173","210160","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-20 13:50:56
"174","210160","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-20 13:56:04
"175","210160","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-18 09:31:57
"176","210160","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 09:25:25
"177","210160","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-18 10:15:21
"178","210160","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-17 11:00:33
"179","210160","ULV","NM","BACH","Pago Deposito/Tranferencia",2021-08-16 15:24:56
"180","210160","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-16 15:51:37
"181","210160","ULV","NM","BACH","Inscripción Finalizada",2021-08-16 16:02:39
"182","210160","ULV","NM","BACH","Pago Deposito/Tranferencia",2021-08-15 18:04:04
"183","210160","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-11 12:35:33
"184","210160","ULV","NM","BACH","Asignación de Carga Académica",2021-08-11 11:54:11
"185","210160","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-11 11:58:57
"186","210160","ULV","NM","BACH","Solicitud de Carga Académica",2021-07-29 08:30:33
"187","210181","ULV","POSTGRADO","MEAIE","Asignación de Cálculo de Cobro",2021-08-25 11:15:07
"188","210181","ULV","POSTGRADO","MEAIE","Solicitud de Cálculo de Cobro",2022-02-11 10:16:10
"189","210181","ULV","POSTGRADO","MEAIE","Asignación de Cálculo de Cobro",2022-02-11 11:42:45
"190","210181","ULV","POSTGRADO","MEAIE","Confirmación Pago Deposito",2022-02-11 12:02:59
"191","210181","ULV","POSTGRADO","MEAIE","Confirmación Pago Deposito",2022-02-11 12:03:03
"192","210181","ULV","POSTGRADO","MEAIE","Inscripción Finalizada",2022-02-11 13:04:41
"193","210181","ULV","POSTGRADO","MEAIE","Asignación de Carga Académica",2022-02-04 13:01:10
"194","210181","ULV","POSTGRADO","MEAIE","Solicitud de Carga Académica",2022-02-02 10:45:11
"195","210281","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-25 11:49:19
"196","210281","ULV","NM","BACH","Inscripción Finalizada",2021-08-25 11:51:05
"197","210281","ULV","NM","BACH","Asignación de Carga Académica",2022-01-20 09:34:36
"198","210281","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-19 14:40:42
"199","210281","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-21 12:26:56
"200","210281","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-21 09:42:37
"201","210281","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-21 07:39:56
"202","210281","ULV","NM","BACH","Inscripción Finalizada",2022-01-21 14:10:49
"203","210281","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-21 13:49:12
"204","210281","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-11 10:08:22
"205","210281","ULV","NM","BACH","Pago Deposito/Tranferencia",2021-08-12 12:37:35
"206","210281","ULV","NM","BACH","Pago Deposito/Tranferencia",2021-08-12 13:53:33
"207","210281","ULV","NM","BACH","Pago Deposito/Tranferencia",2021-08-13 12:45:36
"208","210281","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 09:52:04
"209","210281","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 18:52:15
"210","210281","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-10 18:57:06
"211","210313","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 09:58:22
"212","210313","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 10:52:54
"213","210313","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-10 10:28:13
"214","210313","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-10 13:02:40
"215","210313","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 08:37:42
"216","210313","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-21 08:25:48
"217","210313","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-21 09:03:29
"218","210313","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-21 09:04:23
"219","210313","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-21 12:44:03
"220","210313","ULV","NM","BACH","Inscripción Finalizada",2022-01-21 13:04:28
"221","210313","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-25 12:11:22
"222","210313","ULV","NM","BACH","Inscripción Finalizada",2021-08-25 12:17:06
"223","210313","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-18 10:55:02
"224","210313","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-18 09:40:33
"225","210313","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 09:05:34
"226","210313","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-17 12:44:47
"227","210314","ULV","NM","SEC","Confirmación Pago Deposito",2021-08-13 11:38:59
"228","210314","ULV","NM","SEC","Inscripción Finalizada",2021-08-13 11:45:27
"229","210314","ULV","NM","SEC","Solicitud de Carga Académica",2021-08-12 15:56:38
"230","210314","ULV","NM","SEC","Asignación de Carga Académica",2021-08-12 16:17:01
"231","210314","ULV","NM","SEC","Asignación de Cálculo de Cobro",2021-08-12 17:07:25
"232","210314","ULV","NM","SEC","Solicitud de Cálculo de Cobro",2021-08-12 17:02:52
"233","210314","ULV","NM","SEC","Inscripción Finalizada",2022-01-25 17:18:55
"234","210314","ULV","NM","SEC","Confirmación Pago Deposito",2022-01-25 17:15:55
"235","210321","ULV","FCA","CPF","Solicitud de Carga Académica",2022-01-17 16:33:59
"236","210321","ULV","FCA","CPF","Confirmación Pago Deposito",2021-08-24 09:59:06
"237","210321","ULV","FCA","CPF","Inscripción Finalizada",2021-08-24 10:02:01
"238","210321","ULV","FCA","CPF","Solicitud de Cálculo de Cobro",2021-08-20 14:12:25
"239","210321","ULV","FCA","CPF","Asignación de Cálculo de Cobro",2021-08-20 14:20:23
"240","210321","ULV","FCA","CPF","Asignación de Carga Académica",2021-08-18 09:37:02
"241","210321","ULV","FCA","CPF","Asignación de Carga Académica",2021-08-18 09:38:50
"242","210321","ULV","FCA","CPF","Asignación de Carga Académica",2021-08-18 09:52:33
"243","210321","ULV","FCA","CPF","Confirmación Pago Deposito",2022-01-21 12:46:08
"244","210321","ULV","FCA","CPF","Inscripción Finalizada",2022-01-23 08:40:24
"245","210321","ULV","FCA","CPF","Solicitud de Cálculo de Cobro",2022-01-19 15:27:26
"246","210321","ULV","FCA","CPF","Asignación de Carga Académica",2022-01-19 12:02:35
"247","210321","ULV","FCA","CPF","Asignación de Cálculo de Cobro",2022-01-19 17:31:02
"248","210377","ULV","FCE","CIEDFIMA","Solicitud de Cálculo de Cobro",2022-01-20 09:40:03
"249","210377","ULV","FCE","CIEDFIMA","Asignación de Carga Académica",2022-01-20 08:33:47
"250","210377","ULV","FCE","CIEDFIMA","Confirmación Pago Deposito",2022-01-20 12:44:17
"251","210377","ULV","FCE","CIEDFIMA","Asignación de Cálculo de Cobro",2022-01-20 12:07:01
"252","210377","ULV","FCE","CIEDFIMA","Solicitud de Carga Académica",2022-01-19 15:07:29
"253","210377","ULV","FCE","CIEDFIMA","Inscripción Finalizada",2022-01-20 18:35:48
"254","210377","ULV","FCE","CIEDFIMA","Solicitud de Cálculo de Cobro",2021-07-29 14:55:08
"255","210377","ULV","FCE","CIEDFIMA","Asignación de Cálculo de Cobro",2021-07-29 16:54:58
"256","210377","ULV","FCE","CIEDFIMA","Solicitud de Carga Académica",2021-07-27 22:22:46
"257","210377","ULV","FCE","CIEDFIMA","Asignación de Carga Académica",2021-07-28 09:16:13
"258","210377","ULV","FCE","CIEDFIMA","Confirmación Pago Deposito",2021-08-02 18:08:53
"259","210377","ULV","FCE","CIEDFIMA","Inscripción Finalizada",2021-08-02 18:12:59
"260","210377","ULV","FCE","CIEDFIMA","Asignación de Cálculo de Cobro",2022-03-09 16:56:52
"261","210378","ULV","FCE","CIEDCS","Inscripción Finalizada",2022-01-26 16:31:57
"262","210378","ULV","FCE","CIEDCS","Confirmación Pago Deposito",2021-08-02 18:09:14
"263","210378","ULV","FCE","CIEDCS","Inscripción Finalizada",2021-08-02 18:11:51
"264","210378","ULV","FCE","CIEDCS","Asignación de Carga Académica",2021-07-27 10:50:14
"265","210378","ULV","FCE","CIEDCS","Solicitud de Cálculo de Cobro",2021-07-27 10:55:01
"266","210378","ULV","FCE","CIEDCS","Asignación de Cálculo de Cobro",2021-07-27 13:04:05
"267","210378","ULV","FCE","CIEDCS","Solicitud de Carga Académica",2021-07-27 10:43:44
"268","210378","ULV","FCE","CIEDCS","Asignación de Cálculo de Cobro",2022-01-20 11:30:18
"269","210378","ULV","FCE","CIEDCS","Confirmación Pago Deposito",2022-01-20 12:44:56
"270","210378","ULV","FCE","CIEDCS","Solicitud de Carga Académica",2022-01-20 08:25:25
"271","210378","ULV","FCE","CIEDCS","Asignación de Carga Académica",2022-01-20 08:34:31
"272","210378","ULV","FCE","CIEDCS","Solicitud de Cálculo de Cobro",2022-01-20 08:40:15
"273","210417","ULV","NM","BACH","Inscripción Finalizada",2022-01-18 16:35:17
"274","210417","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-18 16:30:55
"275","210417","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-18 08:26:36
"276","210417","ULV","NM","BACH","Asignación de Carga Académica",2022-01-18 09:39:27
"277","210417","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-18 10:25:36
"278","210417","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-18 11:27:35
"279","210417","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-16 15:23:01
"280","210417","ULV","NM","BACH","Inscripción Finalizada",2021-08-16 15:29:05
"281","210417","ULV","NM","BACH","Confirmación Pago Deposito",2021-08-16 15:44:59
"282","210417","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-10 12:21:38
"283","210417","ULV","NM","BACH","Asignación de Carga Académica",2021-08-10 09:55:06
"284","210417","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-10 09:38:30
"285","210417","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-10 16:55:49
"286","210431","ULV","NM","SEC","Asignación de Cálculo de Cobro",2021-08-18 08:55:06
"287","210431","ULV","NM","SEC","Solicitud de Cálculo de Cobro",2021-08-17 18:31:27
"288","210431","ULV","NM","SEC","Solicitud de Carga Académica",2021-08-17 11:53:12
"289","210431","ULV","NM","SEC","Asignación de Carga Académica",2021-08-17 12:13:10
"290","210431","ULV","NM","SEC","Confirmación Pago Deposito",2021-08-25 11:28:12
"291","210431","ULV","NM","SEC","Inscripción Finalizada",2021-08-25 11:45:59
"292","210431","ULV","NM","SEC","Pago Deposito/Tranferencia",2022-01-24 07:55:10
"293","210431","ULV","NM","SEC","Confirmación Pago Deposito",2022-01-25 18:02:16
"294","210431","ULV","NM","SEC","Inscripción Finalizada",2022-01-26 08:41:06
"295","210445","ULV","NM","BACH","Inscripción Finalizada",2022-01-30 08:52:19
"296","210445","ULV","NM","BACH","Confirmación Pago Deposito",2022-01-28 10:31:39
"297","210445","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-21 12:19:40
"298","210445","ULV","NM","BACH","Solicitud de Carga Académica",2022-01-18 17:35:43
"299","210445","ULV","NM","BACH","Asignación de Carga Académica",2022-01-19 09:39:06
"300","210445","ULV","NM","BACH","Asignación de Cálculo de Cobro",2022-01-20 10:32:45
"301","210445","ULV","NM","BACH","Pago Deposito/Tranferencia",2022-01-20 10:56:04
"302","210445","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2022-01-19 19:39:30
"303","210445","ULV","NM","BACH","Confirmación de Pago en Línea",2021-08-17 17:42:01
"304","210445","ULV","NM","BACH","Solicitud de Carga Académica",2021-08-17 16:21:09
"305","210445","ULV","NM","BACH","Asignación de Carga Académica",2021-08-17 16:46:01
"306","210445","ULV","NM","BACH","Solicitud de Cálculo de Cobro",2021-08-17 17:13:28
"307","210445","ULV","NM","BACH","Asignación de Cálculo de Cobro",2021-08-17 17:21:34
"308","210445","ULV","NM","BACH","Inscripción Finalizada",2021-08-18 10:56:36
